agency,county,item,quantity,date_received,total_cost
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/27/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,MONMOUTH,SNOW BLOWER,1,9/24/14,$200.00 
BELMAR POLICE DEPT,MONMOUTH,"GAS ENGINES, EXCEPT AIRCRAFT",1,9/24/14,"$1,500.00 "
BELMAR POLICE DEPT,MONMOUTH,"MATERIAL HANDLING EQUIP, NONSELF-PROPEL",1,9/24/14,"$7,900.00 "
BELMAR POLICE DEPT,MONMOUTH,"OUTERWEAR, MEN'S",100,9/24/14,"$10,000.00 "
BELMAR POLICE DEPT,MONMOUTH,"GENERATORS AND GEN SETS, DEMIL Q",1,9/25/14,$985.00 
BELMAR POLICE DEPT,MONMOUTH,"GENERATORS AND GEN SETS, DEMIL Q",4,9/25/14,"$3,940.00 "
BELMAR POLICE DEPT,MONMOUTH,MODERN BURNER UNIT V3,6,9/25/14,"$25,369.26 "
BELMAR POLICE DEPT,MONMOUTH,"TOOL KIT,ELECTRONIC",2,9/25/14,"$1,106.00 "
BELMAR POLICE DEPT,MONMOUTH,REFRIGERATOR,1,9/25/14,"$2,465.49 "
BELMAR POLICE DEPT,MONMOUTH,TRAY RATIO HEATER,4,9/25/14,"$44,495.28 "
BELMAR POLICE DEPT,MONMOUTH,FOOD SANITATION CENTER,1,9/25/14,"$33,865.31 "
BELMAR POLICE DEPT,MONMOUTH,HEADLIGHT,75,9/25/14,"$21,636.75 "
BELMAR POLICE DEPT,MONMOUTH,"HAND TOOLS, NONEDGED, NONPOWERED",1,9/25/14,"$5,000.00 "
BELMAR POLICE DEPT,MONMOUTH,"CAMERA, DIGITAL",9,9/25/14,$450.00 
BELMAR POLICE DEPT,MONMOUTH,"BODY,CAMERA,STILL PICTURE",2,9/25/14,"$14,517.24 "
BELMAR POLICE DEPT,MONMOUTH,"RESUSCITATION  KIT,MOUTH-TO-MASK,ORONASAL",1,9/25/14,"$2,604.42 "
BELMAR POLICE DEPT,MONMOUTH,"WIRE,ELECTRICAL",325,9/25/14,$97.50 
BELMAR POLICE DEPT,MONMOUTH,"WIRE,ELECTRICAL",500,9/25/14,$250.00 
BELMAR POLICE DEPT,MONMOUTH,"CAMERA, STILL PICTURE",3,9/25/14,"$2,099.97 "
BELMAR POLICE DEPT,MONMOUTH,"REFRIGERATION UNIT,MECHANICAL",2,9/25/14,"$15,110.00 "
BELMAR POLICE DEPT,MONMOUTH,KITCHEN EQUIPMENT AND APPLIANCES,1,9/25/14,$500.00 
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$2,124.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$4,549.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$1,918.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$3,449.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$2,061.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$1,903.00 "
BELMAR POLICE DEPT,MONMOUTH,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$3,199.00 "
